"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Conopholis americana (L.) Wallr.",-80.524764,37.375239,"Conopholis americana (L.) Wallr.","Lamiales","Orobanchaceae","Conopholis","Conopholis americana","Conopholis","americana","United States of America"
"Monotropa uniflora L.",-80.522747,37.375136,"Monotropa uniflora L.","Ericales","Ericaceae","Monotropa","Monotropa uniflora","Monotropa","uniflora","United States of America"
"Carya ovata K.Koch",-80.526018,37.371712,"Carya ovata K.Koch","Fagales","Juglandaceae","Carya","Carya ovata","Carya","ovata","United States of America"
"Acer rubrum L.",-80.5224,37.377856,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Acer saccharum Marshall",-80.525903,37.371705,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Coreopsis major Walter",-80.52296,37.37564,"Coreopsis major Walter","Asterales","Asteraceae","Coreopsis","Coreopsis major","Coreopsis","major","United States of America"
"Lysimachia lanceolata Walter",-80.52296,37.37564,"Lysimachia lanceolata Walter","Ericales","Primulaceae","Lysimachia","Lysimachia lanceolata","Lysimachia","lanceolata","United States of America"
"Tsuga caroliniana Engelm.",-80.52296,37.37564,"Tsuga caroliniana Engelm.","Pinales","Pinaceae","Tsuga","Tsuga caroliniana","Tsuga","caroliniana","United States of America"
"Crataegus macrosperma Ashe",-80.51978,37.36081,"Crataegus macrosperma Ashe","Rosales","Rosaceae","Crataegus","Crataegus macrosperma","Crataegus","macrosperma","United States of America"
"Cornus alternifolia L.f.",-80.52296,37.37564,"Cornus alternifolia L.f.","Cornales","Cornaceae","Cornus","Cornus alternifolia","Cornus","alternifolia","United States of America"
"Tsuga canadensis Carrière",-80.526898,37.3748,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Cornus alternifolia L.f.",-80.52408,37.37578,"Cornus alternifolia L.f.","Cornales","Cornaceae","Cornus","Cornus alternifolia","Cornus","alternifolia","United States of America"
"Isoetes engelmannii A.Braun",-80.52202,37.37456,"Isoetes engelmannii A.Braun","Isoetales","Isoetaceae","Isoetes","Isoetes engelmannii","Isoetes","engelmannii","United States of America"
"Kalmia latifolia L.",-80.52107,37.37414,"Kalmia latifolia L.","Ericales","Ericaceae","Kalmia","Kalmia latifolia","Kalmia","latifolia","United States of America"
"Acer rubrum L.",-80.5197,37.375825,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
